"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 03 01:25:23 CST 2024","Sat Feb 03 01:25:23 CST 2024","0","","test_parametrize_02","","","","test_parmametrize[\u9ec4\u5fe0-\u5468\u65e5\u4e5f\u88ab\u6211\u5c04\u7184\u706b\u4e86]",""
"passed","Sat Feb 03 01:25:23 CST 2024","Sat Feb 03 01:25:23 CST 2024","1","","test_parametrize_02","","","","test_parmametrize[\u5b89\u742a\u62c9-\u6211\u7231\u73a9\u706b]",""
